"time","SH","EH","IH","RH","AV","SV","EV","IV","Inc","IncCS","R0","Vls","EIC"
294.4375,270000,0,0,0,1594797.22003988,1754983.61341478,0,0,0,0,1.99580276197553,12.7136191145917,9.00624572133439
294.5,270000,0,0,0,1595894.17031948,1751734.62564116,0,0,0,0,1.98613516517815,12.7144639555399,9.01206963215597
294.5625,270000,0,0,0,1596944.68904858,1748483.66793496,0,0,0,0,1.97629506645321,12.7148160174383,9.01857347462358
294.625,270000,0,0,0,1597931.23468229,1745245.61059327,0,0,0,0,1.96649079497031,12.7147181892966,9.02468326924729
294.6875,270000,0,0,0,1598868.00775917,1742014.26638226,0,0,0,0,1.95682588633651,12.7142589316611,9.03042289017596
294.75,270000,0,0,0,1599753.54625741,1738797.73989433,0,0,0,0,1.9473982189371,12.7134604232563,9.0358147650971
294.8125,270000,0,0,0,1600595.18674534,1735595.95145765,0,0,0,0,1.93828432201354,12.712356099505,9.04087996287348
294.875,270000,0,0,0,1601395.19816074,1732410.90933263,0,0,0,0,1.92956614529574,12.7110128481817,9.04563827587019
294.9375,270000,0,0,0,1602157.16921917,1729248.5159896,0,0,0,0,1.92131483657133,12.7093972727012,9.05010829729367
295,270000,0,0,0,1602889.80408398,1726104.27489229,0,0,0,0,1.9136224712785,12.7075867408518,9.05409306060304
295.0625,270000,0,0,0,1603573.89620011,1722993.07552554,0,0,0,0,1.90663493653608,12.705605813281,9.05680361482007
295.125,270000,0,0,0,1604237.33964137,1719908.56478587,0,0,0,0,1.90035387992205,12.7035129561471,9.05913647755376
295.1875,270000,0,0,0,1604859.09680506,1716858.30897337,0,0,0,0,1.89484573801666,12.7012671077403,9.06029986696106
295.25,270000,0,0,0,1605450.1251425,1713842.71566339,0,0,0,0,1.89015894059902,12.6989381790541,9.06118026225372
295.3125,270000,0,0,0,1606013.10956567,1710863.34616908,0,0,0,0,1.88639463761047,12.6965438509598,9.06077225060914
295.375,270000,0,0,0,1606548.46937844,1707927.14753414,0,0,0,0,1.88360253629161,12.6941360639021,9.0591594289398
295.4375,270000,0,0,0,1607066.6264696,1705026.65543138,0,0,0,0,1.88185052990693,12.6916678127145,9.05642029213581
295.5,270000,0,0,0,1607564.94908855,1702172.34722121,0,0,0,0,1.88117085811379,12.6892032357996,9.05262854251227
295.5625,270000,0,0,0,1608025.56980666,1699370.70976354,0,0,0,0,1.88156408041365,12.6867546867096,9.04785338050447
295.625,270000,0,0,0,1608471.08330945,1696622.91097906,0,0,0,0,1.88317422428196,12.6850912001747,9.04215977774719
